timestamp_received,device_id,ip,location_id,session_id,timestamp_device,temperature_f,noise_level_db
2026-04-10T14:03:50.007701,core2_mcb2318,192.168.1.88,club,run_1,1775829829,70.0,38.51
2026-04-10T14:03:50.798836,core2_mcb2318,192.168.1.88,club,run_1,1775829830,70.0,54.92
2026-04-10T14:03:51.357039,core2_mcb2318,192.168.1.88,club,run_1,1775829831,70.0,64.57
2026-04-10T14:03:52.407086,core2_mcb2318,192.168.1.88,club,run_1,1775829832,70.0,68.64
2026-04-10T14:03:53.444492,core2_mcb2318,192.168.1.88,club,run_1,1775829833,70.0,69.09
2026-04-10T14:03:55.157973,core2_mcb2318,192.168.1.88,club,run_1,1775829834,70.0,69.62
2026-04-10T14:03:55.579732,core2_mcb2318,192.168.1.88,club,run_1,1775829835,70.0,70.08
2026-04-10T14:03:56.400481,core2_mcb2318,192.168.1.88,club,run_1,1775829836,70.0,71.33
2026-04-10T14:03:57.429673,core2_mcb2318,192.168.1.88,club,run_1,1775829837,70.0,71.89
2026-04-10T14:03:58.458465,core2_mcb2318,192.168.1.88,club,run_1,1775829838,70.0,73.01
2026-04-10T14:03:59.829537,core2_mcb2318,192.168.1.88,club,run_1,1775829839,70.0,72.39
2026-04-10T14:04:00.441761,core2_mcb2318,192.168.1.88,club,run_1,1775829840,70.0,73.45
2026-04-10T14:04:01.464928,core2_mcb2318,192.168.1.88,club,run_1,1775829841,70.0,73.38
2026-04-10T14:04:02.466911,core2_mcb2318,192.168.1.88,club,run_1,1775829842,70.0,74.78
2026-04-10T14:04:03.700626,core2_mcb2318,192.168.1.88,club,run_1,1775829843,70.0,75.11
2026-04-10T14:04:04.553056,core2_mcb2318,192.168.1.88,club,run_1,1775829844,70.0,73.19
2026-04-10T14:04:05.531949,core2_mcb2318,192.168.1.88,club,run_1,1775829845,70.0,73.08
2026-04-10T14:04:06.411703,core2_mcb2318,192.168.1.88,club,run_1,1775829846,70.0,72.74
2026-04-10T14:04:07.773619,core2_mcb2318,192.168.1.88,club,run_1,1775829847,70.0,73.03
2026-04-10T14:04:08.513157,core2_mcb2318,192.168.1.88,club,run_1,1775829848,70.0,71.84
2026-04-10T14:04:09.696107,core2_mcb2318,192.168.1.88,club,run_1,1775829849,70.0,70.15
2026-04-10T14:04:10.484148,core2_mcb2318,192.168.1.88,club,run_1,1775829850,70.0,71.89
2026-04-10T14:04:11.459793,core2_mcb2318,192.168.1.88,club,run_1,1775829851,70.0,71.78
2026-04-10T14:04:12.584918,core2_mcb2318,192.168.1.88,club,run_1,1775829852,70.0,71.86
2026-04-10T14:04:13.542588,core2_mcb2318,192.168.1.88,club,run_1,1775829853,70.42,72.58
2026-04-10T14:04:14.354477,core2_mcb2318,192.168.1.88,club,run_1,1775829854,70.42,72.9
2026-04-10T14:04:15.403045,core2_mcb2318,192.168.1.88,club,run_1,1775829855,70.42,72.44
2026-04-10T14:04:16.574241,core2_mcb2318,192.168.1.88,club,run_1,1775829856,70.42,72.62
2026-04-10T14:04:17.888429,core2_mcb2318,192.168.1.88,club,run_1,1775829857,70.42,72.51
2026-04-10T14:04:18.560188,core2_mcb2318,192.168.1.88,club,run_1,1775829858,70.42,72.88
2026-04-10T14:04:19.365846,core2_mcb2318,192.168.1.88,club,run_1,1775829859,70.42,72.96
2026-04-10T14:04:20.411029,core2_mcb2318,192.168.1.88,club,run_1,1775829860,70.84,72.32
2026-04-10T14:04:21.460836,core2_mcb2318,192.168.1.88,club,run_1,1775829861,70.84,71.5
2026-04-10T14:04:22.728399,core2_mcb2318,192.168.1.88,club,run_1,1775829862,70.84,72.73
2026-04-10T14:04:23.544706,core2_mcb2318,192.168.1.88,club,run_1,1775829863,70.84,72.9
2026-04-10T14:04:24.393589,core2_mcb2318,192.168.1.88,club,run_1,1775829864,70.84,73.47
2026-04-10T14:04:25.443979,core2_mcb2318,192.168.1.88,club,run_1,1775829865,70.84,71.38
2026-04-10T14:04:26.528322,core2_mcb2318,192.168.1.88,club,run_1,1775829866,70.84,67.28
2026-04-10T14:04:27.326255,core2_mcb2318,192.168.1.88,club,run_1,1775829867,70.84,67.97
2026-04-10T14:04:28.742139,core2_mcb2318,192.168.1.88,club,run_1,1775829868,70.84,68.46
2026-04-10T14:04:29.474754,core2_mcb2318,192.168.1.88,club,run_1,1775829869,70.84,67.65
2026-04-10T14:04:30.549445,core2_mcb2318,192.168.1.88,club,run_1,1775829870,70.84,67.6
2026-04-10T14:04:31.541452,core2_mcb2318,192.168.1.88,club,run_1,1775829871,70.84,68.64
2026-04-10T14:04:32.456893,core2_mcb2318,192.168.1.88,club,run_1,1775829872,70.84,68.11
2026-04-10T14:04:33.388737,core2_mcb2318,192.168.1.88,club,run_1,1775829873,71.18,66.62
2026-04-10T14:04:34.804472,core2_mcb2318,192.168.1.88,club,run_1,1775829874,71.18,66.78
2026-04-10T14:04:35.518118,core2_mcb2318,192.168.1.88,club,run_1,1775829875,71.18,67.97
2026-04-10T14:04:36.556833,core2_mcb2318,192.168.1.88,club,run_1,1775829876,71.18,68.22
2026-04-10T14:04:37.384625,core2_mcb2318,192.168.1.88,club,run_1,1775829877,71.18,68.67
2026-04-10T14:04:38.723661,core2_mcb2318,192.168.1.88,club,run_1,1775829878,71.18,67.8
